Par,Origem ID,Origem,Destino ID,Destino,Distância reta (km),Modo recomendado,Tempo estimado (min),Tempo planejamento (min),Confiança,Observação
L13-L29,L13,Rockefeller Center,L29,Brooklyn Bridge,6.09,Metrô/ônibus + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L30,L13,Rockefeller Center,L30,DUMBO — Washington & Water,6.25,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L31,L13,Rockefeller Center,L31,Brooklyn Bridge Park — Pier 1,6.48,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L13-L32,L13,Rockefeller Center,L32,Brooklyn Heights Promenade,6.98,Metrô + caminhada,35,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L15,L14,St. Patrick's Cathedral,L15,Bryant Park,0.81,Caminhada,15,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L16,L14,St. Patrick's Cathedral,L16,NYPL — Schwarzman Building,0.78,Caminhada,14,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L17,L14,St. Patrick's Cathedral,L17,Grand Central Terminal,0.65,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L18,L14,St. Patrick's Cathedral,L18,Tudor City Overpass,1.17,Caminhada,21,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L19,L14,St. Patrick's Cathedral,L19,United Nations Headquarters,1.24,Caminhada,22,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L20,L14,St. Patrick's Cathedral,L20,Moynihan Train Hall,1.8,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L21,L14,St. Patrick's Cathedral,L21,Herald Square,1.33,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L22,L14,St. Patrick's Cathedral,L22,Empire State Building,1.38,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L23,L14,St. Patrick's Cathedral,L23,Madison Square Garden,1.7,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L24,L14,St. Patrick's Cathedral,L24,Gerald Schoenfeld Theatre — Broadway,0.94,Caminhada,17,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L25,L14,St. Patrick's Cathedral,L25,Times Square,0.83,Caminhada,15,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L26,L14,St. Patrick's Cathedral,L26,Flatiron Building,2.25,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L27,L14,St. Patrick's Cathedral,L27,The Battery,7.04,Metrô/ônibus + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L28,L14,St. Patrick's Cathedral,L28,Chinatown — Columbus Park,5.23,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L29,L14,St. Patrick's Cathedral,L29,Brooklyn Bridge,6.12,Metrô/ônibus + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L30,L14,St. Patrick's Cathedral,L30,DUMBO — Washington & Water,6.26,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L31,L14,St. Patrick's Cathedral,L31,Brooklyn Bridge Park — Pier 1,6.5,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L14-L32,L14,St. Patrick's Cathedral,L32,Brooklyn Heights Promenade,7.0,Metrô + caminhada,35,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L16,L15,Bryant Park,L16,NYPL — Schwarzman Building,0.12,Caminhada,3,3,Alta,Mesmo cluster; tempo operacional curto.
L15-L17,L15,Bryant Park,L17,Grand Central Terminal,0.55,Caminhada,8,10,Alta,Mesmo cluster; tempo operacional curto.
L15-L18,L15,Bryant Park,L18,Tudor City Overpass,1.22,Caminhada,21,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L19,L15,Bryant Park,L19,United Nations Headquarters,1.42,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L20,L15,Bryant Park,L20,Moynihan Train Hall,1.03,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L21,L15,Bryant Park,L21,Herald Square,0.52,Caminhada,10,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L22,L15,Bryant Park,L22,Empire State Building,0.62,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L23,L15,Bryant Park,L23,Madison Square Garden,0.91,Caminhada,17,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L24,L15,Bryant Park,L24,Gerald Schoenfeld Theatre — Broadway,0.62,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L25,L15,Bryant Park,L25,Times Square,0.44,Caminhada,9,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L26,L15,Bryant Park,L26,Flatiron Building,1.51,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L27,L15,Bryant Park,L27,The Battery,6.28,Metrô/ônibus + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L28,L15,Bryant Park,L28,Chinatown — Columbus Park,4.52,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L29,L15,Bryant Park,L29,Brooklyn Bridge,5.45,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L30,L15,Bryant Park,L30,DUMBO — Washington & Water,5.64,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L31,L15,Bryant Park,L31,Brooklyn Bridge Park — Pier 1,5.84,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L15-L32,L15,Bryant Park,L32,Brooklyn Heights Promenade,6.34,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L17,L16,NYPL — Schwarzman Building,L17,Grand Central Terminal,0.43,Caminhada,6,8,Alta,Mesmo cluster; tempo operacional curto.
L16-L18,L16,NYPL — Schwarzman Building,L18,Tudor City Overpass,1.1,Caminhada,20,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L19,L16,NYPL — Schwarzman Building,L19,United Nations Headquarters,1.3,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L20,L16,NYPL — Schwarzman Building,L20,Moynihan Train Hall,1.12,Caminhada,20,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L21,L16,NYPL — Schwarzman Building,L21,Herald Square,0.56,Caminhada,11,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L22,L16,NYPL — Schwarzman Building,L22,Empire State Building,0.6,Caminhada,12,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L23,L16,NYPL — Schwarzman Building,L23,Madison Square Garden,0.99,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L24,L16,NYPL — Schwarzman Building,L24,Gerald Schoenfeld Theatre — Broadway,0.73,Caminhada,14,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L25,L16,NYPL — Schwarzman Building,L25,Times Square,0.55,Caminhada,11,15,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L26,L16,NYPL — Schwarzman Building,L26,Flatiron Building,1.49,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L27,L16,NYPL — Schwarzman Building,L27,The Battery,6.28,Metrô/ônibus + caminhada,28,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L28,L16,NYPL — Schwarzman Building,L28,Chinatown — Columbus Park,4.5,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L29,L16,NYPL — Schwarzman Building,L29,Brooklyn Bridge,5.42,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L30,L16,NYPL — Schwarzman Building,L30,DUMBO — Washington & Water,5.59,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L31,L16,NYPL — Schwarzman Building,L31,Brooklyn Bridge Park — Pier 1,5.81,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L16-L32,L16,NYPL — Schwarzman Building,L32,Brooklyn Heights Promenade,6.3,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L18,L17,Grand Central Terminal,L18,Tudor City Overpass,0.7,Caminhada,9,11,Alta,Mesmo cluster; tempo operacional curto.
L17-L19,L17,Grand Central Terminal,L19,United Nations Headquarters,0.89,Caminhada,10,15,Alta,Mesmo cluster; tempo operacional curto.
L17-L20,L17,Grand Central Terminal,L20,Moynihan Train Hall,1.54,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L21,L17,Grand Central Terminal,L21,Herald Square,0.92,Caminhada,17,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L22,L17,Grand Central Terminal,L22,Empire State Building,0.86,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L23,L17,Grand Central Terminal,L23,Madison Square Garden,1.4,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L24,L17,Grand Central Terminal,L24,Gerald Schoenfeld Theatre — Broadway,1.07,Caminhada,19,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L25,L17,Grand Central Terminal,L25,Times Square,0.89,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L26,L17,Grand Central Terminal,L26,Flatiron Building,1.68,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L27,L17,Grand Central Terminal,L27,The Battery,6.44,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L28,L17,Grand Central Terminal,L28,Chinatown — Columbus Park,4.62,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L29,L17,Grand Central Terminal,L29,Brooklyn Bridge,5.48,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L30,L17,Grand Central Terminal,L30,DUMBO — Washington & Water,5.61,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L31,L17,Grand Central Terminal,L31,Brooklyn Bridge Park — Pier 1,5.86,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L17-L32,L17,Grand Central Terminal,L32,Brooklyn Heights Promenade,6.36,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L19,L18,Tudor City Overpass,L19,United Nations Headquarters,0.26,Caminhada,3,5,Alta,Mesmo cluster; tempo operacional curto.
L18-L20,L18,Tudor City Overpass,L20,Moynihan Train Hall,2.11,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L21,L18,Tudor City Overpass,L21,Herald Square,1.45,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L22,L18,Tudor City Overpass,L22,Empire State Building,1.28,Metrô/ônibus + caminhada,13,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L23,L18,Tudor City Overpass,L23,Madison Square Garden,1.95,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L24,L18,Tudor City Overpass,L24,Gerald Schoenfeld Theatre — Broadway,1.77,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L25,L18,Tudor City Overpass,L25,Times Square,1.6,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L26,L18,Tudor City Overpass,L26,Flatiron Building,1.85,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L27,L18,Tudor City Overpass,L27,The Battery,6.4,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L28,L18,Tudor City Overpass,L28,Chinatown — Columbus Park,4.52,Metrô/ônibus + caminhada,23,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L29,L18,Tudor City Overpass,L29,Brooklyn Bridge,5.29,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L30,L18,Tudor City Overpass,L30,DUMBO — Washington & Water,5.34,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L31,L18,Tudor City Overpass,L31,Brooklyn Bridge Park — Pier 1,5.65,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L18-L32,L18,Tudor City Overpass,L32,Brooklyn Heights Promenade,6.14,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L20,L19,United Nations Headquarters,L20,Moynihan Train Hall,2.35,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L21,L19,United Nations Headquarters,L21,Herald Square,1.69,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L22,L19,United Nations Headquarters,L22,Empire State Building,1.53,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L23,L19,United Nations Headquarters,L23,Madison Square Garden,2.19,Metrô/ônibus + caminhada,16,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L24,L19,United Nations Headquarters,L24,Gerald Schoenfeld Theatre — Broadway,1.95,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L25,L19,United Nations Headquarters,L25,Times Square,1.77,Metrô/ônibus + caminhada,14,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L26,L19,United Nations Headquarters,L26,Flatiron Building,2.09,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L27,L19,United Nations Headquarters,L27,The Battery,6.6,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L28,L19,United Nations Headquarters,L28,Chinatown — Columbus Park,4.71,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L29,L19,United Nations Headquarters,L29,Brooklyn Bridge,5.45,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L30,L19,United Nations Headquarters,L30,DUMBO — Washington & Water,5.48,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L31,L19,United Nations Headquarters,L31,Brooklyn Bridge Park — Pier 1,5.81,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L19-L32,L19,United Nations Headquarters,L32,Brooklyn Heights Promenade,6.29,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L21,L20,Moynihan Train Hall,L21,Herald Square,0.66,Caminhada,8,10,Alta,Mesmo cluster; tempo operacional curto.
L20-L22,L20,Moynihan Train Hall,L22,Empire State Building,0.88,Caminhada,12,14,Alta,Mesmo cluster; tempo operacional curto.
L20-L23,L20,Moynihan Train Hall,L23,Madison Square Garden,0.18,Caminhada,3,4,Alta,Mesmo cluster; tempo operacional curto.
L20-L24,L20,Moynihan Train Hall,L24,Gerald Schoenfeld Theatre — Broadway,1.04,Caminhada,19,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L25,L20,Moynihan Train Hall,L25,Times Square,1.03,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L26,L20,Moynihan Train Hall,L26,Flatiron Building,1.24,Caminhada,22,30,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L27,L20,Moynihan Train Hall,L27,The Battery,5.66,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L28,L20,Moynihan Train Hall,L28,Chinatown — Columbus Park,4.05,Metrô/ônibus + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L29,L20,Moynihan Train Hall,L29,Brooklyn Bridge,5.07,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L30,L20,Moynihan Train Hall,L30,DUMBO — Washington & Water,5.36,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L31,L20,Moynihan Train Hall,L31,Brooklyn Bridge Park — Pier 1,5.47,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L20-L32,L20,Moynihan Train Hall,L32,Brooklyn Heights Promenade,5.97,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L22,L21,Herald Square,L22,Empire State Building,0.26,Caminhada,4,6,Alta,Mesmo cluster; tempo operacional curto.
L21-L23,L21,Herald Square,L23,Madison Square Garden,0.5,Caminhada,6,8,Alta,Mesmo cluster; tempo operacional curto.
L21-L24,L21,Herald Square,L24,Gerald Schoenfeld Theatre — Broadway,0.92,Caminhada,17,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L25,L21,Herald Square,L25,Times Square,0.79,Caminhada,15,20,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L26,L21,Herald Square,L26,Flatiron Building,1.04,Caminhada,19,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L27,L21,Herald Square,L27,The Battery,5.78,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L28,L21,Herald Square,L28,Chinatown — Columbus Park,4.05,Metrô/ônibus + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L29,L21,Herald Square,L29,Brooklyn Bridge,5.01,Metrô/ônibus + caminhada,25,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L30,L21,Herald Square,L30,DUMBO — Washington & Water,5.23,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L31,L21,Herald Square,L31,Brooklyn Bridge Park — Pier 1,5.4,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L21-L32,L21,Herald Square,L32,Brooklyn Heights Promenade,5.9,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L23,L22,Empire State Building,L23,Madison Square Garden,0.7,Caminhada,10,12,Alta,Mesmo cluster; tempo operacional curto.
L22-L24,L22,Empire State Building,L24,Gerald Schoenfeld Theatre — Broadway,1.13,Caminhada,20,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L25,L22,Empire State Building,L25,Times Square,0.98,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L26,L22,Empire State Building,L26,Flatiron Building,0.89,Caminhada,16,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L27,L22,Empire State Building,L27,The Battery,5.67,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L28,L22,Empire State Building,L28,Chinatown — Columbus Park,3.9,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L29,L22,Empire State Building,L29,Brooklyn Bridge,4.84,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L30,L22,Empire State Building,L30,DUMBO — Washington & Water,5.04,Metrô + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L31,L22,Empire State Building,L31,Brooklyn Bridge Park — Pier 1,5.23,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L22-L32,L22,Empire State Building,L32,Brooklyn Heights Promenade,5.73,Metrô + caminhada,31,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L24,L23,Madison Square Garden,L24,Gerald Schoenfeld Theatre — Broadway,1.02,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L25,L23,Madison Square Garden,L25,Times Square,0.98,Caminhada,18,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L26,L23,Madison Square Garden,L26,Flatiron Building,1.1,Caminhada,20,25,Alta,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L27,L23,Madison Square Garden,L27,The Battery,5.63,Metrô/ônibus + caminhada,26,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L28,L23,Madison Square Garden,L28,Chinatown — Columbus Park,3.98,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L29,L23,Madison Square Garden,L29,Brooklyn Bridge,4.99,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L30,L23,Madison Square Garden,L30,DUMBO — Washington & Water,5.26,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L31,L23,Madison Square Garden,L31,Brooklyn Bridge Park — Pier 1,5.39,Metrô + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L23-L32,L23,Madison Square Garden,L32,Brooklyn Heights Promenade,5.89,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L25,L24,Gerald Schoenfeld Theatre — Broadway,L25,Times Square,0.18,Caminhada,3,4,Alta,Mesmo cluster; tempo operacional curto.
L24-L26,L24,Gerald Schoenfeld Theatre — Broadway,L26,Flatiron Building,1.95,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L27,L24,Gerald Schoenfeld Theatre — Broadway,L27,The Battery,6.64,Metrô/ônibus + caminhada,30,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L28,L24,Gerald Schoenfeld Theatre — Broadway,L28,Chinatown — Columbus Park,4.94,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L29,L24,Gerald Schoenfeld Theatre — Broadway,L29,Brooklyn Bridge,5.92,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L30,L24,Gerald Schoenfeld Theatre — Broadway,L30,DUMBO — Washington & Water,6.15,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L31,L24,Gerald Schoenfeld Theatre — Broadway,L31,Brooklyn Bridge Park — Pier 1,6.31,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L24-L32,L24,Gerald Schoenfeld Theatre — Broadway,L32,Brooklyn Heights Promenade,6.82,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L26,L25,Times Square,L26,Flatiron Building,1.83,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L27,L25,Times Square,L27,The Battery,6.55,Metrô/ônibus + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L28,L25,Times Square,L28,Chinatown — Columbus Park,4.84,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L29,L25,Times Square,L29,Brooklyn Bridge,5.8,Metrô/ônibus + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L30,L25,Times Square,L30,DUMBO — Washington & Water,6.01,Metrô + caminhada,32,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L31,L25,Times Square,L31,Brooklyn Bridge Park — Pier 1,6.19,Metrô + caminhada,33,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L25-L32,L25,Times Square,L32,Brooklyn Heights Promenade,6.69,Metrô + caminhada,34,45,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L27,L26,Flatiron Building,L27,The Battery,4.78,Metrô/ônibus + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L28,L26,Flatiron Building,L28,Chinatown — Columbus Park,3.01,Metrô/ônibus + caminhada,18,25,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L29,L26,Flatiron Building,L29,Brooklyn Bridge,3.97,Metrô/ônibus + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L30,L26,Flatiron Building,L30,DUMBO — Washington & Water,4.2,Metrô + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L31,L26,Flatiron Building,L31,Brooklyn Bridge Park — Pier 1,4.36,Metrô + caminhada,27,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L26-L32,L26,Flatiron Building,L32,Brooklyn Heights Promenade,4.86,Metrô + caminhada,29,35,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L27-L28,L27,The Battery,L28,Chinatown — Columbus Park,1.9,Metrô/ônibus + caminhada,15,20,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L27-L29,L27,The Battery,L29,Brooklyn Bridge,1.67,Caminhada,17,22,Alta,Lower Manhattan; caminhada prática.
L27-L30,L27,The Battery,L30,DUMBO — Washington & Water,2.2,Metrô + caminhada,24,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L27-L31,L27,The Battery,L31,Brooklyn Bridge Park — Pier 1,1.63,Metrô + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L27-L32,L27,The Battery,L32,Brooklyn Heights Promenade,1.68,Metrô + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L28-L29,L28,Chinatown — Columbus Park,L29,Brooklyn Bridge,1.09,Caminhada,10,15,Alta,Mesmo cluster; tempo operacional curto.
L28-L30,L28,Chinatown — Columbus Park,L30,DUMBO — Washington & Water,1.58,Metrô + caminhada,22,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
L28-L31,L28,Chinatown — Columbus Park,L31,Brooklyn Bridge Park — Pier 1,1.47,Metrô + caminhada,21,30,Média,"Estimativa de planejamento, não tempo em trânsito ao vivo."
